item_orgid	item_procid
000100039X	0
0001055178	1
0002005395	2
0002007770	3
0002051850	4
0002113570	5
000215725X	6
0002185385	7
0002219417	8
000222383X	9
0002226618	10
000224053X	11
0002242052	12
0002243768	13
0002247399	14
0002310899	15
0002311216	16
0002315963	17
0002318075	18
0002318652	19
0002550938	20
0002726874	21
0002727463	22
0004723724	23
000612609X	24
0006135129	25
0006136389	26
0006145388	27
000615591X	28
0006158048	29
0006161413	30
000616174X	31
0006162649	32
000616823X	33
0006175015	34
0006176909	35
0006178979	36
0006353282	37
0006371949	38
0006388515	39
0006392202	40
0006393195	41
000639325X	42
0006470181	43
000647019X	44
0006470238	45
0006473407	46
0006475973	47
0006476155	48
0006478840	49
0006479677	50
0006479758	51
0006482791	52
0006485944	53
000649692X	54
0006497802	55
0006498000	56
000649885X	57
0006499163	58
0006499317	59
0006499708	60
0006499945	61
0006511252	62
0006512070	63
0006512666	64
0006514006	65
000651412X	66
0006514219	67
0006514642	68
0006514952	69
0006530699	70
0006530702	71
0006550339	72
0006550436	73
0006550479	74
0006551386	75
0006551807	76
0006733271	77
0006917801	78
0007101112	79
0007101880	80
0007102658	81
0007103417	82
0007107927	83
0007111347	84
0007111509	85
0007113080	86
0007115865	87
0007116055	88
0007118481	89
0007118899	90
0007119267	91
0007120699	92
0007121121	93
0007124015	94
000712774X	95
0007136838	96
0007141785	97
0007147201	98
0007147295	99
0007148976	100
0007149042	101
0007149530	102
0007149824	103
0007152531	104
0007154615	105
0007155417	106
0007156618	107
0007157150	108
0007157169	109
0007157177	110
0007158505	111
0007161263	112
0007162219	113
0007163541	114
0007164785	115
0007166753	116
0007167040	117
0007169914	118
0007171684	119
0007172826	120
0007173687	121
0007179731	122
0007182155	123
0007183518	124
0007189885	125
0007190042	126
0007190611	127
0007193181	128
0007193521	129
0007194161	130
0007195524	131
0007196091	132
000719739X	133
0007198876	134
0007199058	135
000720311X	136
0007204396	137
0007205236	138
0007206976	139
000721278X	140
0007217110	141
0007217838	142
0007223706	143
0007223722	144
0007225520	145
0007228023	146
0007229682	147
0007229690	148
0007230028	149
0007230206	150
0007231601	151
0007231989	152
0007233450	153
0007236360	154
0007240198	155
0007244576	156
0007245742	157
0007245823	158
000724794X	159
0007248075	160
0007250886	161
000725394X	162
0007254008	163
0007256817	164
0007257031	165
0007257546	166
0007260989	167
0007261985	168
0007263686	169
0007266499	170
0007267444	171
0007267622	172
0007269854	173
0007270968	174
0007271166	175
000727405X	176
0007274572	177
0007276141	178
0007280998	179
0007281048	180
0007281447	181
0007285973	182
0007291183	183
0007299273	184
0007299281	185
0007299540	186
0007303017	187
0007311672	188
0007317735	189
0007325169	190
0007327064	191
0007332750	192
0007333994	193
0007334877	194
0007337701	195
0007340826	196
0007344201	197
000734421X	198
0007344260	199
0007345631	200
0007362544	201
000736296X	202
0007367759	203
0007373619	204
0007374755	205
0007382227	206
000738422X	207
0007386648	208
0007388160	209
0007391595	210
0007398557	211
0007410956	212
0007419023	213
0007419449	214
0007419457	215
000741949X	216
0007419511	217
0007420765	218
0007423632	219
0007430590	220
0007430671	221
0007431201	222
0007436564	223
0007436629	224
0007438885	225
0007441290	226
0007442629	227
0007442637	228
0007442920	229
0007443501	230
0007444117	231
0007446128	232
0007446306	233
0007446977	234
0007447094	235
0007447868	236
0007449232	237
0007457146	238
0007466064	239
0007467478	240
0007473214	241
000747959X	242
0007486774	243
000748805X	244
0007488238	245
0007489447	246
0007491263	247
0007491271	248
0007491433	249
0007491530	250
0007493754	251
0007504586	252
000750621X	253
0007506236	254
0007514913	255
0007519532	256
0007523580	257
000752417X	258
0007530226	259
0007530919	260
0007533322	261
0007550197	262
000755947X	263
0007559569	264
0007622872	265
0007622880	266
000765202X	267
000766141X	268
0007662394	269
000779021X	270
0007828780	271
0020088221	272
0020136609	273
0020165811	274
0020199856	275
0020259905	276
002028361X	277
0020291922	278
0020306652	279
0020311605	280
0020315910	281
0020360754	282
0020425651	283
0020425759	284
0020427018	285
0020427115	286
0020427859	287
0020436203	288
0020446500	289
0020449313	290
0020452705	291
0020519001	292
0020519109	293
0020746903	294
002411510X	295
0025174703	296
0025236601	297
002542730X	298
0025853503	299
0026009102	300
0026045702	301
0026128101	302
0026154609	303
0026309106	304
0027109917	305
0027116905	306
0027136701	307
0027197107	308
0027348407	309
0027436225	310
0027436292	311
002782683X	312
0028610105	313
0028627717	314
0028630238	315
002863201X	316
0028633504	317
0028634691	318
0028637275	319
0028639456	320
0028639588	321
0028641418	322
0028642333	323
0028643828	324
0028646851	325
0028647297	326
0028741013	327
0028811135	328
0029023807	329
002907052X	330
0029081025	331
0029109752	332
0029117062	333
0029146739	334
0029177766	335
0029197821	336
0029227917	337
0029238374	338
0029303303	339
0029303605	340
0029334357	341
0030108063	342
0030266408	343
0030491266	344
003055442X	345
0030554624	346
0030565812	347
0030574862	348
003061368X	349
0030615526	350
0030615534	351
0030707315	352
0048230782	353
0060000155	354
0060001445	355
0060001453	356
006000150X	357
0060001534	358
0060002050	359
0060002069	360
0060002077	361
0060002484	362
0060002522	363
0060002697	364
006000438X	365
0060004746	366
0060004878	367
0060005505	368
0060005521	369
0060005548	370
0060005556	371
0060005696	372
0060005726	373
0060005777	374
0060006293	375
0060006331	376
0060006358	377
0060006617	378
0060006633	379
0060006641	380
0060006765	381
006000679X	382
0060006927	383
0060007192	384
006000732X	385
0060007672	386
0060007737	387
0060007761	388
0060007834	389
0060008032	390
006000844X	391
0060008725	392
0060008776	393
0060008806	394
0060008873	395
0060008881	396
0060009225	397
0060009241	398
006000925X	399
0060009268	400
0060009292	401
006000942X	402
0060009829	403
0060010800	404
0060011483	405
0060011572	406
0060011602	407
0060011912	408
006001203X	409
0060012234	410
0060012358	411
0060012382	412
0060012617	413
0060012781	414
0060012811	415
0060013125	416
0060013168	417
0060013249	418
0060013494	419
0060013508	420
0060014016	421
0060014091	422
0060014156	423
0060014261	424
0060014342	425
0060080817	426
0060080841	427
0060080957	428
0060081600	429
