item_orgid	item_procid
0005019281	0
0005119367	1
0307142469	2
0307142485	3
0307142493	4
0307514161	5
0310263662	6
0310274281	7
0563412879	8
0615115187	9
0718000315	10
0738900370	11
0740328271	12
0764000829	13
0764001035	14
0764002465	15
0764003828	16
0764004425	17
076400459X	18
0764005022	19
0764005316	20
0764005537	21
0764005553	22
076400557X	23
0764005685	24
0764005693	25
0764005707	26
076400638X	27
0764006584	28
0764006770	29
0764006797	30
0764007211	31
0764007440	32
0764009265	33
0767002652	34
0767003357	35
0767010485	36
0767014812	37
0767015533	38
0767018672	39
0767019954	40
0767020308	41
0767020553	42
0767023765	43
0767026128	44
0767081455	45
0767087372	46
0767726227	47
0767736680	48
0767800311	49
0767800761	50
076780094X	51
0767801601	52
076780161X	53
076780192X	54
0767801962	55
0767802454	56
0767802470	57
0767802497	58
0767802519	59
0767802535	60
0767802551	61
0767802578	62
0767802594	63
0767802616	64
0767802624	65
0767802659	66
0767802683	67
0767802772	68
0767802802	69
0767803337	70
076780337X	71
0767803434	72
0767804252	73
0767804309	74
0767804325	75
0767804929	76
0767805267	77
0767805712	78
0767805739	79
0767806239	80
0767806743	81
076780676X	82
0767806808	83
0767807588	84
0767807596	85
076780760X	86
0767807693	87
0767808460	88
0767808673	89
076780922X	90
0767809246	91
0767809254	92
0767809262	93
0767809270	94
0767809335	95
0767809378	96
0767809548	97
0767809688	98
076780970X	99
0767809726	100
0767810848	101
0767810856	102
0767810864	103
0767810872	104
0767810880	105
0767811054	106
0767811070	107
0767811097	108
0767811100	109
0767811410	110
0767811429	111
0767811437	112
0767812115	113
0767812131	114
076781214X	115
0767812158	116
0767812166	117
0767812174	118
0767812182	119
0767812387	120
0767812417	121
0767812743	122
0767812778	123
0767813871	124
0767814037	125
0767814932	126
076781505X	127
0767815122	128
0767815335	129
076781553X	130
0767815718	131
0767815963	132
076781598X	133
0767816234	134
0767816617	135
0767816641	136
0767816757	137
0767817443	138
0767817478	139
0767817486	140
0767817648	141
0767817656	142
0767817664	143
0767817672	144
0767817680	145
0767817699	146
0767817710	147
0767817729	148
0767817737	149
0767817745	150
0767817753	151
0767817761	152
076781777X	153
0767818016	154
0767818024	155
0767818040	156
0767818059	157
0767818067	158
0767818075	159
0767818083	160
0767818105	161
0767818172	162
0767819179	163
0767819438	164
0767819446	165
0767819454	166
0767819462	167
0767819470	168
0767819543	169
076781956X	170
0767819586	171
0767819594	172
0767819640	173
0767819764	174
0767821408	175
0767821432	176
0767821467	177
0767821483	178
0767821505	179
0767821513	180
0767821548	181
0767821556	182
0767821599	183
0767821610	184
0767821637	185
076782170X	186
0767821718	187
0767821742	188
0767821785	189
0767821807	190
076782184X	191
0767821920	192
0767821955	193
0767823354	194
0767823729	195
0767823796	196
0767823931	197
0767823990	198
0767824407	199
0767824423	200
0767824555	201
0767824571	202
0767825411	203
0767825489	204
0767825519	205
0767825616	206
0767826728	207
0767827007	208
0767827635	209
0767827651	210
0767827678	211
0767827686	212
0767827694	213
0767827716	214
0767827724	215
0767827740	216
0767827775	217
0767827791	218
0767827813	219
0767827902	220
0767827929	221
0767830520	222
0767831063	223
0767831322	224
0767832248	225
0767832302	226
0767832485	227
0767832574	228
0767833600	229
0767833902	230
0767834739	231
0767834860	232
0767835069	233
0767835093	234
0767835948	235
0767835980	236
0767836286	237
0767836316	238
0767836324	239
0767836359	240
0767837363	241
0767837991	242
0767839129	243
0767839145	244
076783917X	245
0767839277	246
0767840895	247
0767844335	248
0767844386	249
076784730X	250
0767847431	251
076784744X	252
0767847563	253
0767849493	254
0767849973	255
0767849981	256
0767850246	257
0767850823	258
0767851013	259
076785117X	260
0767851668	261
076785344X	262
0767853636	263
0767853946	264
0767855000	265
0769403468	266
0769712231	267
0773343032	268
0773386777	269
0780018664	270
0780018702	271
0780019172	272
0780020200	273
0780020227	274
0780020464	275
0780020502	276
0780020634	277
0780020685	278
0780020693	279
0780020707	280
0780020715	281
0780020723	282
0780020731	283
0780020804	284
0780020820	285
0780020847	286
0780021045	287
0780021088	288
0780021096	289
0780021118	290
0780021134	291
0780021185	292
0780021223	293
0780021312	294
0780021320	295
0780021541	296
0780021592	297
0780021797	298
0780021932	299
0780021940	300
0780021967	301
0780022076	302
0780022084	303
0780022181	304
0780022270	305
0780022300	306
0780022319	307
0780022343	308
0780022386	309
0780022491	310
0780022629	311
0780022823	312
0780022882	313
0780023013	314
0780023080	315
0780023110	316
0780023161	317
0780023307	318
0780023331	319
0780023420	320
0780023447	321
0780023536	322
0780605799	323
078060718X	324
0780607287	325
0780608372	326
078060959X	327
0780612906	328
0780613678	329
0780613856	330
0780613880	331
0780614097	332
0780615573	333
0780616561	334
078061755X	335
0780618068	336
0780618548	337
0780618556	338
0780618564	339
0780618831	340
0780619250	341
0780619331	342
0780619412	343
0780619439	344
0780619552	345
0780619609	346
0780619765	347
0780619951	348
0780620003	349
0780620135	350
0780620321	351
0780620364	352
0780620372	353
0780620437	354
0780620496	355
0780620801	356
0780620860	357
0780621395	358
0780621573	359
0780621611	360
078062162X	361
0780621638	362
0780621654	363
0780621832	364
0780621948	365
0780621964	366
0780621980	367
0780622030	368
0780622278	369
0780622375	370
0780622383	371
0780622537	372
0780622545	373
0780622561	374
0780622588	375
0780622596	376
0780622642	377
0780622782	378
0780623134	379
0780623215	380
0780623274	381
0780623592	382
0780623614	383
078062369X	384
0780623711	385
078062372X	386
0780623746	387
0780623789	388
0780625129	389
0780625218	390
0780625277	391
0780625358	392
0780625528	393
078062565X	394
0780625765	395
0780625773	396
0780625781	397
078062579X	398
0780625803	399
0780626109	400
0780626478	401
0780626613	402
0780626699	403
0780626702	404
0780626966	405
0780627024	406
0780627415	407
0780627717	408
078062775X	409
0780627776	410
0780627784	411
0780627806	412
0780627857	413
0780628519	414
0780628535	415
0780628551	416
