item_orgid	item_procid
0738900370	0
0760135002	1
0780018664	2
0780607287	3
0783228503	4
0783233485	5
0788806270	6
078881172X	7
0790729350	8
0792836030	9
1560395737	10
1573300403	11
157330056X	12
1573300934	13
1573301183	14
1573306932	15
1573623709	16
1858704553	17
1858705223	18
1858705231	19
1929243154	20
5555991584	21
5557530584	22
5558160063	23
5558783532	24
5559291986	25
6300198286	26
6300216357	27
6300227049	28
630025075X	29
6300251020	30
6300270424	31
6300273199	32
6301095294	33
6301174240	34
6301248171	35
6301248198	36
6301334175	37
6301405323	38
6301810619	39
6301846052	40
6301955013	41
6302043239	42
6302158249	43
6302213142	44
6302250056	45
6302311640	46
6302371392	47
6302371724	48
630237250X	49
6302372666	50
6302372801	51
6302374367	52
6302415993	53
6302482402	54
6302626625	55
6302714222	56
6302775205	57
6302869390	58
6302880882	59
6302886228	60
6302910129	61
6302941466	62
6302961807	63
6303014887	64
6303047564	65
6303058760	66
6303092128	67
6303152775	68
6303152821	69
6303206204	70
6303234844	71
6303266371	72
630326669X	73
6303284183	74
6303286542	75
6303296726	76
6303303463	77
6303314015	78
6303329071	79
6303337023	80
6303451446	81
6303459765	82
6303477259	83
6303553486	84
6303694713	85
6303968651	86
6304235682	87
6304479689	88
6304479794	89
6304498977	90
6304639457	91
6305005273	92
6305026009	93
6305076995	94
6305131120	95
6305131147	96
6305134979	97
6305180261	98
6305205620	99
6305225818	100
6305268177	101
6305301808	102
6305323615	103
630534275X	104
6305459525	105
6305603871	106
6305610444	107
6305715599	108
6305747172	109
6305772649	110
6305846464	111
6305910022	112
7799623519	113
B0000000KO	114
B0000000LI	115
B0000000MF	116
B0000000ZW	117
B000000100	118
B000000112	119
B000000119	120
B00000011E	121
B000000132	122
B00000013T	123
B00000016K	124
B00000016M	125
B00000016N	126
B00000016P	127
B00000016T	128
B00000016V	129
B00000016W	130
B00000017A	131
B00000017R	132
B00000017Y	133
B000000186	134
B00000018D	135
B00000018H	136
B00000018N	137
B0000001AE	138
B0000002JR	139
B0000002ME	140
B0000002O5	141
B0000002QX	142
B0000003MZ	143
B0000004E0	144
B0000004F9	145
B0000004TR	146
B0000004TW	147
B0000004U8	148
B0000004UB	149
B0000004UK	150
B0000004UM	151
B0000004UW	152
B0000004V2	153
B0000004V6	154
B0000004VW	155
B0000004WA	156
B0000004WE	157
B0000004X7	158
B0000004XH	159
B0000004YF	160
B0000004YH	161
B0000004ZA	162
B000000506	163
B000000509	164
B00000050R	165
B00000050T	166
B000000518	167
B00000051X	168
B00000051Z	169
B00000052E	170
B00000052I	171
B00000052M	172
B00000052Y	173
B00000053B	174
B00000053E	175
B00000053Q	176
B00000053T	177
B00000053X	178
B00000054H	179
B00000054M	180
B00000054T	181
B00000055E	182
B00000057M	183
B0000005MT	184
B0000005MV	185
B0000005MY	186
B0000005XM	187
B000000612	188
B000000624	189
B00000062H	190
B00000062O	191
B00000063S	192
B00000063U	193
B000000643	194
B000000645	195
B000000649	196
B00000064C	197
B00000064E	198
B00000064F	199
B00000064G	200
B00000064O	201
B00000064P	202
B00000085X	203
B000000860	204
B0000008SF	205
B0000008Y8	206
B00000098D	207
B00000098N	208
B00000098Y	209
B000000993	210
B00000099S	211
B00000099X	212
B0000009LI	213
B0000009NG	214
B0000009NH	215
B0000009NK	216
B0000009NL	217
B0000009NN	218
B0000009NP	219
B0000009NR	220
B0000009OB	221
B0000009OD	222
B0000009OI	223
B0000009OL	224
B0000009OP	225
B0000009OU	226
B0000009P4	227
