user_procid	item_procid
0	174
0	2401
0	2457
0	3328
0	4214
0	5874
0	6134
0	6544
0	6854
0	7156
0	7157
0	7580
0	7777
0	7899
0	8066
0	8783
0	9000
0	9219
0	9881
0	10188
0	12964
1	4592
1	8194
1	8579
1	8644
1	8650
1	8868
1	9349
1	9842
1	10246
1	10538
1	10918
1	11213
1	12136
2	208
2	210
2	212
2	5254
2	6283
2	8717
2	9682
2	10453
2	10472
2	10984
2	11862
3	1263
3	1322
3	1327
3	4592
3	4695
3	6243
3	6372
3	6530
3	6765
3	6837
4	12946
4	13133
4	13162
4	13413
4	13476
4	13563
4	13658
5	2722
5	2724
5	2749
5	2823
5	2950
5	3777
5	4264
6	5261
6	6259
6	7271
6	7329
6	7553
6	8673
6	10081
6	10102
6	10155
6	10164
6	10277
6	10307
6	10569
6	10680
6	10736
6	10769
6	10790
6	10808
6	10901
6	10940
7	1529
7	1872
7	1873
7	2722
7	2723
7	2745
7	12927
7	13550
7	13763
8	2028
8	2724
8	3361
8	5399
8	5403
8	10836
8	11103
9	2971
9	6470
9	6834
9	7010
9	7129
9	7466
9	7793
9	8438
9	9060
9	9331
9	9695
9	10248
9	10289
9	10550
9	10721
9	10805
9	11096
9	11361
9	11531
9	11735
9	12108
9	12701
9	12907
9	12924
9	13433
9	13489
9	13587
9	13637
10	212
10	570
10	946
10	1049
10	1880
10	1923
10	2080
10	2181
10	5813
10	6097
10	6283
10	6742
10	6753
10	7817
10	8223
11	24
11	137
11	378
11	418
11	419
11	716
11	981
11	984
11	985
11	986
11	987
11	1417
11	1418
11	1471
11	1534
11	1558
11	1614
11	2141
11	2339
11	2579
11	2604
11	2623
11	2655
11	2679
11	2705
11	2733
11	2734
11	2735
11	2736
11	2737
11	2738
11	2740
11	2741
11	2742
11	2743
11	2744
11	2747
11	2749
11	2751
11	2754
11	2755
11	2756
11	2758
11	2974
11	3486
11	3489
11	3491
11	3509
11	3574
11	3645
11	3646
11	3647
11	3648
11	3652
11	3657
11	3658
11	3659
11	3660
11	3662
11	3663
11	3788
11	3798
11	3999
11	4049
11	4212
11	4263
11	4264
11	4275
11	4438
11	4544
11	4550
11	4559
11	4560
11	4562
11	4886
11	5160
11	5355
11	5952
11	6704
11	6916
11	7719
12	119
12	157
12	158
12	289
12	794
12	795
12	796
12	799
12	822
12	838
12	943
12	1115
12	1116
12	1118
12	1131
12	1132
12	1263
12	1281
12	1344
12	1438
12	1535
12	1570
12	1581
12	1621
12	1660
12	1683
12	1694
12	1709
12	1963
12	2100
12	2245
12	2265
12	2443
12	2457
12	2507
12	2620
12	2824
12	3328
12	3555
12	3557
12	3588
12	3625
12	3720
12	3740
12	3952
12	4003
12	4085
12	4152
12	4284
12	4319
12	4320
12	4889
12	5427
12	5459
12	5714
12	6623
12	6721
12	7227
12	7395
12	8110
12	8164
12	8173
12	8207
12	9192
12	11542
13	315
13	1023
13	1938
13	2077
13	3339
13	8517
13	10726
13	10828
13	10851
13	11062
14	1178
14	2220
14	2920
14	3164
14	3202
14	3338
14	3575
14	5195
14	6944
14	7544
15	3883
15	8761
15	9032
15	11938
15	12047
15	12159
16	198
16	571
16	2492
16	4537
16	6188
16	6538
16	8299
16	8401
16	9142
17	1027
17	1331
17	1782
17	6656
17	9908
17	10862
17	11288
17	11573
17	11764
17	12791
18	418
18	639
18	1122
18	1414
18	1442
18	4050
18	4367
18	4369
18	4924
18	7884
18	9939
18	10939
18	12729
19	121
19	171
19	568
19	772
19	2089
19	3081
19	3747
19	4109
19	4129
19	4397
19	4399
19	5534
19	5605
19	5833
19	5881
19	6129
19	6179
19	6227
19	6259
19	6260
19	6284
19	6339
19	6367
19	6397
19	6452
19	6464
19	6646
19	6661
19	6753
19	6778
19	6815
19	7184
19	7345
19	7943
19	7961
19	10664
19	11917
20	1231
20	1904
20	2052
20	2133
20	2410
20	2414
20	2432
20	2440
20	2515
20	2521
20	2850
20	2855
20	2864
20	2893
20	2926
20	2944
20	2950
20	2959
20	2969
20	2986
20	4934
20	6553
20	6956
20	8423
20	10460
20	11151
21	4779
21	7024
21	7071
21	7279
21	9225
21	10023
21	11539
22	2459
22	5590
22	6049
22	7069
22	7305
22	8686
22	8707
22	8960
22	9371
22	9680
22	9682
22	9805
22	9830
22	10041
22	10046
22	10247
22	10254
22	10387
22	10440
22	10453
22	10689
22	11530
22	12431
23	10207
23	10239
23	10407
23	10573
23	10665
23	10680
23	10687
23	10769
23	10921
23	10982
23	11136
24	19
24	581
24	633
24	2852
24	9734
24	12888
24	12961
24	13006
24	13322
24	13332
25	29
25	1637
25	2064
25	2734
25	2735
25	4816
25	5393
25	7466
25	9336
25	10131
25	10415
25	10772
25	10997
26	45
26	681
26	2246
26	3387
26	5467
26	7390
26	10729
26	10963
26	12952
27	8281
27	9379
27	9551
27	9727
27	9778
27	9904
27	10001
27	10357
27	10429
27	10538
27	10704
27	10795
27	11095
27	11234
27	11504
27	11804
27	12609
27	12699
27	12717
27	12752
27	12798
27	12801
27	12868
27	12885
28	11211
28	11856
28	12085
28	12145
28	12177
28	12348
28	12429
28	12756
29	31
29	526
29	610
29	1461
29	1565
29	1742
29	1823
29	2517
29	2539
29	2740
29	2741
29	2742
29	2743
29	2744
29	2754
29	2755
29	2757
29	2758
29	2815
29	2843
29	2875
29	2971
29	3318
29	3489
29	3573
29	3695
29	3978
29	3987
29	4550
29	4749
29	4921
29	5357
29	5383
29	6034
29	6086
29	6117
29	6276
29	6485
29	6540
29	6604
29	6644
29	6742
29	6834
29	6850
29	6855
29	6856
29	6961
29	6962
29	7034
29	7042
29	7135
29	7266
29	7451
29	7712
29	7758
29	7789
29	7793
29	7970
29	8089
29	8307
29	8432
29	8503
29	8569
29	8571
29	8745
29	9114
29	9180
29	9306
29	9395
29	9428
29	9432
29	9996
29	10115
29	10411
29	10480
29	10489
29	10607
29	10805
29	11049
29	11178
29	11357
29	11821
29	11876
29	13243
30	455
30	2191
30	4463
30	5225
30	5814
30	6588
30	6625
30	6808
30	7238
31	2821
31	7376
31	11633
31	12067
31	12176
31	12678
31	12812
31	12858
31	13265
31	13300
31	13396
31	13552
31	13562
31	13570
31	13779
32	9743
32	10719
32	11002
32	11324
32	11968
32	12335
32	12527
32	12971
32	13239
32	13438
33	345
33	351
33	1381
33	2438
33	4430
33	4847
33	4931
33	5061
33	6915
33	7460
34	1120
34	1171
34	2900
34	2981
34	4414
34	6330
34	8801
35	1584
35	2448
35	2619
35	5221
35	6231
35	8878
35	9373
36	5896
36	11899
36	12024
36	12077
36	12111
36	12192
36	12218
36	12220
36	12237
36	12242
36	12270
36	12499
37	2414
37	2419
37	2454
37	3026
37	7492
37	8848
37	9554
37	9701
37	9837
37	11594
37	12015
37	12812
38	1002
38	1005
38	1007
38	1084
38	2689
38	3406
38	3845
38	5441
38	6053
39	1880
39	1923
39	2080
39	2124
39	2181
39	6575
39	6742
39	8354
39	8455
39	8613
39	8659
39	8812
39	8993
39	9533
39	9739
39	9862
39	9926
39	10088
39	10167
39	10323
39	10539
39	10580
39	10586
39	10710
39	10735
39	10768
39	10842
39	10851
39	11178
40	434
40	1534
40	5419
40	6228
40	6425
40	6440
40	7055
40	8223
40	8255
40	8269
40	12661
41	3415
41	6453
41	10457
41	11155
41	11681
41	11691
41	11698
41	11713
41	11883
41	11906
41	12631
41	12676
42	213
42	214
42	215
42	217
42	219
42	273
42	659
42	662
42	4599
42	6207
42	6208
42	6209
42	6296
42	8426
42	9837
42	10339
43	162
43	177
43	1973
43	2089
43	4902
43	5009
43	5450
43	5493
43	5768
43	5812
43	5813
43	5902
43	6085
43	6259
43	6393
43	6397
43	6522
43	6626
43	6845
43	6857
43	6949
43	6971
43	7139
43	7429
43	7448
43	7752
43	7799
43	8166
43	8223
43	8670
43	8702
44	829
44	1824
44	2600
44	2608
44	4279
44	12347
45	2
45	10449
45	11753
45	12029
45	12035
45	12633
45	12902
46	126
46	129
46	130
46	1179
46	1623
46	2339
46	2342
46	2559
46	2722
46	2723
46	2724
46	2725
46	2741
46	2743
46	2744
46	2745
46	2754
46	5351
47	1528
47	1537
47	1565
47	1616
47	1626
47	2058
47	5065
48	757
48	758
48	1659
48	1853
48	2408
48	2615
48	3074
48	3796
48	6025
48	6355
48	7501
49	905
49	2091
49	2217
49	2311
49	2858
49	2950
49	3128
49	3277
49	3924
49	4544
49	5441
49	6275
50	252
50	502
50	915
50	3391
50	3760
50	3891
50	4141
50	4864
50	8280
50	8384
50	9451
50	9717
50	10762
50	11233
50	12366
50	12404
50	12481
50	12505
50	12508
50	12554
50	12618
50	12969
50	13372
50	13596
50	13679
50	13738
51	327
51	354
51	416
51	2440
51	2651
51	3286
51	6668
51	6812
51	7147
51	8405
51	8899
51	8970
51	9150
51	9299
51	9655
51	9918
51	11515
52	158
52	780
52	1361
52	2163
52	4323
52	4324
52	4326
52	4336
52	4341
52	4398
52	4968
52	5400
52	5482
52	5872
53	5953
53	6018
53	6631
53	6920
53	7069
53	7658
53	8222
53	8805
53	8851
54	1453
54	1752
54	2744
54	2967
54	3044
54	3048
